task,subjID,display,trial,fribblePresented,resp,labelPresented,frequency,rt,trialType,list,expeType
contingency,3491839,task,1,20375,-87,wug,h,5187.205,match,1,pilot1
contingency,3491839,task,2,11025,81,dep,l,2897.71,match,1,pilot1
contingency,3491839,task,3,21125,37,dep,l,3329.8,mismatch-type1,1,pilot1
contingency,3491839,task,4,22475,-34,wug,h,2998.58,match,1,pilot1
contingency,3491839,task,5,13375,-84,dep,h,3325.12,match,1,pilot1
contingency,3491839,task,6,21675,90,tob,h,4563.47,mismatch-type1,1,pilot1
contingency,3491839,task,7,31525,100,wug,l,3436.43,mismatch-type1,1,pilot1
contingency,3491839,task,8,30875,49,tob,h,3146.895,match,1,pilot1
contingency,3491839,task,9,11725,-84,dep,l,2938.18,match,1,pilot1
contingency,3491839,task,10,30975,92,dep,h,2686.84,mismatch-type1,1,pilot1
contingency,3491839,task,11,20825,13,dep,l,3457.885,mismatch-type1,1,pilot1
contingency,3491839,task,12,30225,100,wug,l,3782.425,mismatch-type1,1,pilot1
contingency,3491839,task,13,11875,62,dep,h,3298.76,match,1,pilot1
contingency,3491839,task,14,12075,-100,wug,h,2849.48,mismatch-type1,1,pilot1
contingency,3491839,task,15,20775,-70,wug,h,3195.935,match,1,pilot1
contingency,3491839,task,16,30325,100,wug,l,2498.65,mismatch-type1,1,pilot1
contingency,3491839,task,17,30725,-100,tob,l,3025.555,match,1,pilot1
contingency,3491839,task,18,11425,32,tob,l,2983.085,mismatch-type1,1,pilot1
contingency,3491839,task,19,20325,78,dep,l,3208.745,mismatch-type1,1,pilot1
contingency,3491839,task,20,20625,-100,wug,l,2555.455,match,1,pilot1
contingency,3491839,task,21,21575,-62,wug,h,3305.84,match,1,pilot1
contingency,3491839,task,22,10175,54,dep,h,4706.115,match,1,pilot1
contingency,3491839,task,23,22325,-21,dep,l,3051.385,mismatch-type1,1,pilot1
contingency,3491839,task,24,32575,-43,dep,h,2955.93,mismatch-type1,1,pilot1
contingency,3491839,task,25,11375,-96,wug,h,3854.7,mismatch-type1,1,pilot1
contingency,3491839,task,26,33275,53,dep,h,2885.835,mismatch-type1,1,pilot1
contingency,3491839,task,27,12275,77,dep,h,3108.135,match,1,pilot1
contingency,3491839,task,28,31425,-100,tob,l,2568.665,match,1,pilot1
contingency,3491839,task,29,21975,45,tob,h,2953.8,mismatch-type1,1,pilot1
contingency,3491839,task,30,11625,83,tob,l,4037.83,mismatch-type1,1,pilot1
contingency,3491839,task,31,22125,-100,wug,l,3082.74,match,1,pilot1
contingency,3491839,task,32,11325,72,tob,l,3017.72,mismatch-type1,1,pilot1
contingency,3491839,task,33,30825,-100,tob,l,3071.305,match,1,pilot1
contingency,3491839,task,34,12875,-50,wug,h,2961.1,mismatch-type1,1,pilot1
contingency,3491839,task,35,32775,52,dep,h,2354.16,mismatch-type1,1,pilot1
